transaction_id,transaction_date,transaction_type,customer_id,customer_name,grain_type,operation,number_of_bags,bag_weight_kg,total_weight_kg,quality_grade,moisture_content
76,2023-03-17,Warehouse Movement,1863,Customer_1863,Maize,IN,84,25,2100,A,15.71
77,2024-08-11,Warehouse Movement,1128,Customer_1128,Barley,OUT,79,50,3950,B,11.85
78,2023-09-22,Warehouse Movement,1415,Customer_1415,Sorghum,IN,62,50,3100,A,13.39
79,2024-04-29,Warehouse Movement,126,Customer_126,Maize,OUT,114,50,5700,C,14.44
80,2023-01-05,Warehouse Movement,122,Customer_122,Rice,OUT,160,25,4000,B,10.51
81,2024-11-15,Warehouse Movement,375,Customer_375,Rice,OUT,39,50,1950,B,10.98
82,2023-05-03,Warehouse Movement,1214,Customer_1214,Maize,OUT,106,25,2650,C,13.18
83,2024-03-28,Warehouse Movement,1895,Customer_1895,Millet,OUT,104,25,2600,B,13.22
84,2023-10-27,Warehouse Movement,313,Customer_313,Sorghum,OUT,190,50,9500,C,15.98
85,2024-03-02,Warehouse Movement,1270,Customer_1270,Maize,IN,40,50,2000,C,14.38
86,2024-04-10,Warehouse Movement,490,Customer_490,Sorghum,OUT,165,25,4125,C,15.38
87,2023-08-07,Warehouse Movement,133,Customer_133,Wheat,IN,146,50,7300,A,11.24
88,2023-07-03,Warehouse Movement,278,Customer_278,Millet,IN,66,50,3300,A,14.0
89,2023-09-29,Warehouse Movement,754,Customer_754,Millet,IN,69,25,1725,B,14.17
90,2024-06-19,Warehouse Movement,1102,Customer_1102,Maize,IN,118,50,5900,C,14.31
91,2023-04-21,Warehouse Movement,1405,Customer_1405,Millet,IN,12,50,600,B,13.79
92,2023-11-20,Warehouse Movement,1642,Customer_1642,Millet,OUT,122,50,6100,A,11.73
93,2023-12-19,Warehouse Movement,666,Customer_666,Maize,OUT,22,50,1100,A,13.66
94,2023-01-06,Warehouse Movement,205,Customer_205,Maize,OUT,41,25,1025,A,16.45
95,2023-11-04,Warehouse Movement,429,Customer_429,Millet,OUT,171,50,8550,C,13.6
96,2023-03-16,Warehouse Movement,1668,Customer_1668,Millet,IN,38,25,950,B,14.68
97,2023-07-24,Warehouse Movement,905,Customer_905,Maize,OUT,89,25,2225,B,10.81
98,2024-03-15,Warehouse Movement,1124,Customer_1124,Barley,IN,159,50,7950,C,11.43
99,2024-01-13,Warehouse Movement,770,Customer_770,Maize,OUT,53,25,1325,A,16.3
100,2024-05-09,Warehouse Movement,1428,Customer_1428,Maize,IN,128,50,6400,B,14.57
101,2024-03-17,Warehouse Movement,1250,Customer_1250,Millet,OUT,41,25,1025,A,13.76
102,2023-03-23,Warehouse Movement,1544,Customer_1544,Wheat,OUT,73,25,1825,C,15.43
103,2024-06-02,Warehouse Movement,968,Customer_968,Sorghum,OUT,16,50,800,C,10.67
104,2024-01-14,Warehouse Movement,2000,Customer_2000,Maize,OUT,198,50,9900,C,14.79
105,2023-11-14,Warehouse Movement,675,Customer_675,Maize,IN,48,50,2400,B,15.59
106,2023-09-22,Warehouse Movement,856,Customer_856,Wheat,IN,141,25,3525,A,10.49
107,2023-09-22,Warehouse Movement,309,Customer_309,Rice,OUT,29,50,1450,A,13.14
108,2023-03-21,Warehouse Movement,843,Customer_843,Barley,OUT,59,25,1475,B,10.92
109,2023-08-22,Warehouse Movement,1800,Customer_1800,Sorghum,IN,16,25,400,A,11.11
110,2023-02-15,Warehouse Movement,341,Customer_341,Barley,OUT,48,50,2400,A,11.43
111,2024-01-16,Warehouse Movement,534,Customer_534,Maize,IN,51,50,2550,A,14.06
112,2024-07-08,Warehouse Movement,860,Customer_860,Maize,OUT,184,25,4600,C,12.85
113,2024-03-23,Warehouse Movement,1599,Customer_1599,Wheat,OUT,64,50,3200,C,14.71
114,2023-09-14,Warehouse Movement,616,Customer_616,Barley,IN,23,50,1150,B,12.72
115,2023-01-02,Warehouse Movement,53,Customer_53,Wheat,OUT,118,50,5900,B,13.42
116,2023-04-11,Warehouse Movement,762,Customer_762,Wheat,OUT,38,50,1900,A,14.94
117,2023-11-26,Warehouse Movement,1355,Customer_1355,Wheat,IN,184,25,4600,B,12.21
118,2023-05-31,Warehouse Movement,856,Customer_856,Sorghum,IN,47,25,1175,B,15.53
119,2023-11-18,Warehouse Movement,1177,Customer_1177,Sorghum,IN,167,25,4175,A,10.11
120,2023-08-04,Warehouse Movement,1497,Customer_1497,Maize,IN,197,50,9850,B,11.28
121,2023-06-16,Warehouse Movement,423,Customer_423,Rice,OUT,76,50,3800,B,14.77
122,2024-07-22,Warehouse Movement,1927,Customer_1927,Millet,OUT,134,50,6700,C,10.58
123,2023-03-30,Warehouse Movement,1620,Customer_1620,Maize,IN,145,50,7250,A,16.17
124,2024-02-16,Warehouse Movement,1929,Customer_1929,Rice,IN,50,25,1250,A,14.03
125,2023-02-16,Warehouse Movement,1016,Customer_1016,Wheat,IN,50,25,1250,A,11.26
126,2024-06-29,Warehouse Movement,1517,Customer_1517,Wheat,IN,49,50,2450,C,11.21
127,2023-04-10,Warehouse Movement,1575,Customer_1575,Sorghum,OUT,33,50,1650,B,13.74
128,2024-05-31,Warehouse Movement,795,Customer_795,Maize,OUT,105,25,2625,A,12.2
129,2023-04-01,Warehouse Movement,1988,Customer_1988,Wheat,OUT,107,50,5350,C,13.08
130,2024-05-03,Warehouse Movement,32,Customer_32,Barley,OUT,88,50,4400,A,13.24
131,2023-08-14,Warehouse Movement,1319,Customer_1319,Millet,IN,162,50,8100,B,11.07
132,2024-01-15,Warehouse Movement,1778,Customer_1778,Rice,IN,170,25,4250,C,14.44
133,2024-09-03,Warehouse Movement,1565,Customer_1565,Maize,IN,94,50,4700,A,11.56
134,2024-04-14,Warehouse Movement,476,Customer_476,Rice,OUT,18,25,450,C,11.22
135,2023-09-29,Warehouse Movement,1872,Customer_1872,Sorghum,OUT,47,50,2350,B,12.94
136,2024-01-10,Warehouse Movement,1203,Customer_1203,Rice,OUT,168,25,4200,A,15.28
137,2024-03-19,Warehouse Movement,316,Customer_316,Wheat,IN,99,50,4950,A,15.53
138,2023-02-14,Warehouse Movement,878,Customer_878,Maize,OUT,153,50,7650,A,13.1
139,2023-04-26,Warehouse Movement,979,Customer_979,Rice,OUT,144,25,3600,A,15.83
140,2024-04-27,Warehouse Movement,1316,Customer_1316,Sorghum,OUT,11,50,550,A,11.57
141,2023-06-18,Warehouse Movement,545,Customer_545,Sorghum,IN,145,50,7250,C,11.69
142,2023-08-06,Warehouse Movement,1539,Customer_1539,Rice,IN,21,25,525,A,10.67
143,2023-02-17,Warehouse Movement,1920,Customer_1920,Barley,OUT,42,50,2100,B,11.71
144,2023-08-05,Warehouse Movement,710,Customer_710,Maize,OUT,64,50,3200,B,10.61
145,2024-01-20,Warehouse Movement,803,Customer_803,Maize,IN,169,25,4225,C,11.87
146,2023-05-11,Warehouse Movement,891,Customer_891,Barley,OUT,199,25,4975,B,11.91
147,2023-10-18,Warehouse Movement,896,Customer_896,Millet,OUT,23,50,1150,B,11.67
148,2024-02-05,Warehouse Movement,1949,Customer_1949,Sorghum,OUT,86,25,2150,A,15.59
149,2023-12-24,Warehouse Movement,1527,Customer_1527,Wheat,IN,165,25,4125,A,12.77
150,2023-05-15,Warehouse Movement,891,Customer_891,Maize,OUT,59,25,1475,B,13.73
151,2024-03-01,Warehouse Movement,1397,Customer_1397,Sorghum,IN,82,25,2050,A,13.69
152,2024-08-12,Warehouse Movement,1052,Customer_1052,Barley,OUT,69,50,3450,A,13.83
153,2023-07-14,Warehouse Movement,1042,Customer_1042,Millet,IN,111,50,5550,C,15.82
154,2024-10-02,Warehouse Movement,215,Customer_215,Millet,IN,180,25,4500,B,16.08
155,2023-07-21,Warehouse Movement,245,Customer_245,Sorghum,IN,17,25,425,C,14.49
156,2024-01-11,Warehouse Movement,968,Customer_968,Barley,OUT,191,25,4775,B,14.15
157,2023-05-01,Warehouse Movement,1853,Customer_1853,Millet,OUT,146,50,7300,C,13.34
158,2024-09-22,Warehouse Movement,749,Customer_749,Maize,IN,163,50,8150,B,14.09
159,2023-04-08,Warehouse Movement,1747,Customer_1747,Wheat,OUT,200,25,5000,A,15.68
160,2023-06-23,Warehouse Movement,1481,Customer_1481,Rice,OUT,50,25,1250,B,10.63
161,2023-09-10,Warehouse Movement,191,Customer_191,Rice,OUT,167,25,4175,A,14.46
162,2024-01-04,Warehouse Movement,81,Customer_81,Millet,IN,43,50,2150,B,14.07
163,2023-07-17,Warehouse Movement,1665,Customer_1665,Millet,IN,159,50,7950,B,15.98
164,2023-02-10,Warehouse Movement,779,Customer_779,Maize,OUT,39,25,975,C,15.17
165,2024-11-18,Warehouse Movement,1632,Customer_1632,Rice,OUT,14,25,350,B,12.62
166,2023-02-09,Warehouse Movement,1424,Customer_1424,Sorghum,OUT,153,50,7650,A,11.53
167,2024-11-24,Warehouse Movement,1231,Customer_1231,Maize,IN,175,50,8750,C,15.54
168,2023-07-27,Warehouse Movement,1787,Customer_1787,Maize,IN,84,25,2100,A,13.71
169,2023-04-03,Warehouse Movement,338,Customer_338,Rice,IN,94,25,2350,C,13.78
170,2023-03-02,Warehouse Movement,1970,Customer_1970,Maize,IN,73,50,3650,A,15.48
171,2023-02-27,Warehouse Movement,1118,Customer_1118,Sorghum,IN,198,50,9900,B,13.81
172,2023-06-20,Warehouse Movement,771,Customer_771,Barley,OUT,122,25,3050,B,14.05
173,2024-10-17,Warehouse Movement,1838,Customer_1838,Wheat,OUT,158,25,3950,C,12.91
174,2024-06-28,Warehouse Movement,1205,Customer_1205,Rice,OUT,34,25,850,B,13.39
175,2024-05-07,Warehouse Movement,951,Customer_951,Millet,OUT,75,25,1875,B,10.53
176,2023-02-06,Warehouse Movement,893,Customer_893,Rice,OUT,56,25,1400,A,12.63
177,2024-11-23,Warehouse Movement,251,Customer_251,Maize,IN,104,50,5200,C,14.65
178,2023-08-31,Warehouse Movement,821,Customer_821,Sorghum,OUT,60,25,1500,C,15.34
179,2023-04-25,Warehouse Movement,123,Customer_123,Sorghum,IN,12,50,600,B,12.98
180,2024-10-10,Warehouse Movement,1880,Customer_1880,Maize,OUT,134,50,6700,B,10.99
181,2024-07-02,Warehouse Movement,1144,Customer_1144,Maize,OUT,69,25,1725,A,11.57
182,2024-04-28,Warehouse Movement,1114,Customer_1114,Sorghum,OUT,96,50,4800,B,16.47
183,2024-10-07,Warehouse Movement,77,Customer_77,Rice,OUT,83,50,4150,A,11.51
184,2024-05-24,Warehouse Movement,1366,Customer_1366,Sorghum,IN,185,50,9250,A,12.44
185,2023-08-31,Warehouse Movement,307,Customer_307,Maize,IN,27,50,1350,A,13.59
186,2024-11-26,Warehouse Movement,1241,Customer_1241,Wheat,IN,89,25,2225,B,15.52
187,2023-03-12,Warehouse Movement,947,Customer_947,Barley,OUT,162,25,4050,A,11.81
188,2024-07-16,Warehouse Movement,15,Customer_15,Barley,OUT,46,25,1150,B,15.57
189,2023-08-28,Warehouse Movement,1313,Customer_1313,Barley,OUT,139,25,3475,A,15.84
190,2024-06-06,Warehouse Movement,863,Customer_863,Wheat,OUT,164,25,4100,B,14.99
191,2024-04-17,Warehouse Movement,1377,Customer_1377,Sorghum,IN,172,25,4300,B,10.29
192,2023-06-19,Warehouse Movement,53,Customer_53,Barley,IN,103,50,5150,A,14.25
193,2023-07-30,Warehouse Movement,1410,Customer_1410,Sorghum,OUT,145,25,3625,C,15.39
194,2023-06-22,Warehouse Movement,1889,Customer_1889,Wheat,OUT,115,50,5750,A,14.6
195,2024-10-18,Warehouse Movement,310,Customer_310,Wheat,IN,65,25,1625,C,10.77
196,2023-07-07,Warehouse Movement,1271,Customer_1271,Millet,IN,109,50,5450,A,14.0
197,2024-01-27,Warehouse Movement,1633,Customer_1633,Millet,OUT,169,25,4225,A,12.12
198,2023-04-14,Warehouse Movement,1402,Customer_1402,Sorghum,IN,66,50,3300,C,13.34
199,2024-10-01,Warehouse Movement,1351,Customer_1351,Sorghum,IN,170,25,4250,A,15.21
200,2023-09-14,Warehouse Movement,1872,Customer_1872,Maize,IN,180,50,9000,B,15.85
201,2023-10-01,Warehouse Movement,1887,Customer_1887,Barley,OUT,16,25,400,B,16.24
202,2023-08-04,Warehouse Movement,923,Customer_923,Sorghum,IN,77,25,1925,C,16.34
203,2023-03-14,Warehouse Movement,80,Customer_80,Barley,OUT,120,25,3000,B,13.85
204,2023-10-26,Warehouse Movement,379,Customer_379,Millet,OUT,48,25,1200,B,14.74
205,2024-09-25,Warehouse Movement,471,Customer_471,Sorghum,OUT,59,50,2950,A,11.5
206,2023-10-25,Warehouse Movement,1143,Customer_1143,Wheat,IN,36,50,1800,B,10.55
207,2024-05-28,Warehouse Movement,488,Customer_488,Sorghum,OUT,173,50,8650,C,13.83
208,2023-03-14,Warehouse Movement,350,Customer_350,Wheat,OUT,157,25,3925,B,11.33
209,2024-01-08,Warehouse Movement,288,Customer_288,Rice,IN,194,50,9700,B,10.55
210,2023-05-30,Warehouse Movement,856,Customer_856,Millet,IN,131,50,6550,C,15.5
211,2024-08-12,Warehouse Movement,1847,Customer_1847,Sorghum,IN,132,50,6600,A,10.57
212,2024-08-05,Warehouse Movement,657,Customer_657,Rice,OUT,24,50,1200,A,11.9
213,2024-05-07,Warehouse Movement,895,Customer_895,Maize,OUT,58,50,2900,C,14.92
214,2024-04-14,Warehouse Movement,1165,Customer_1165,Sorghum,OUT,170,25,4250,C,11.27
215,2023-11-17,Warehouse Movement,711,Customer_711,Maize,OUT,112,50,5600,A,12.85
216,2024-06-25,Warehouse Movement,62,Customer_62,Barley,IN,134,25,3350,C,14.0
217,2023-05-26,Warehouse Movement,1457,Customer_1457,Maize,IN,171,50,8550,B,11.98
218,2024-02-23,Warehouse Movement,369,Customer_369,Barley,IN,182,25,4550,C,12.39
219,2024-03-22,Warehouse Movement,1048,Customer_1048,Wheat,OUT,69,25,1725,B,15.93
220,2024-10-13,Warehouse Movement,1453,Customer_1453,Rice,OUT,83,25,2075,A,10.36
221,2023-05-19,Warehouse Movement,300,Customer_300,Rice,IN,145,50,7250,B,11.11
222,2024-06-05,Warehouse Movement,1217,Customer_1217,Maize,OUT,120,25,3000,B,12.17
223,2023-08-12,Warehouse Movement,1437,Customer_1437,Rice,IN,156,25,3900,C,13.08
224,2024-05-18,Warehouse Movement,455,Customer_455,Maize,IN,106,25,2650,C,11.8
225,2023-07-09,Warehouse Movement,186,Customer_186,Maize,IN,50,50,2500,C,10.57
226,2023-10-24,Warehouse Movement,1971,Customer_1971,Sorghum,OUT,135,50,6750,C,11.03
227,2023-06-05,Warehouse Movement,437,Customer_437,Sorghum,OUT,31,50,1550,A,14.85
228,2023-03-07,Warehouse Movement,643,Customer_643,Wheat,OUT,142,50,7100,C,15.38
229,2023-10-10,Warehouse Movement,997,Customer_997,Rice,OUT,36,25,900,B,15.21
230,2023-10-02,Warehouse Movement,555,Customer_555,Barley,OUT,38,50,1900,B,15.14
231,2024-06-13,Warehouse Movement,363,Customer_363,Wheat,IN,35,25,875,A,16.32
232,2024-04-19,Warehouse Movement,344,Customer_344,Rice,IN,103,50,5150,A,12.02
233,2024-08-15,Warehouse Movement,1300,Customer_1300,Wheat,IN,53,50,2650,C,15.18
234,2024-01-03,Warehouse Movement,552,Customer_552,Wheat,IN,115,50,5750,A,13.14
235,2023-09-29,Warehouse Movement,1504,Customer_1504,Rice,OUT,83,25,2075,A,11.54
236,2024-02-04,Warehouse Movement,1779,Customer_1779,Millet,OUT,131,25,3275,A,14.04
237,2024-03-25,Warehouse Movement,1767,Customer_1767,Barley,OUT,174,25,4350,A,16.4
238,2024-03-13,Warehouse Movement,184,Customer_184,Wheat,IN,98,25,2450,A,12.26
239,2023-09-19,Warehouse Movement,758,Customer_758,Maize,OUT,100,25,2500,A,15.9
240,2023-08-29,Warehouse Movement,849,Customer_849,Rice,OUT,170,50,8500,C,15.99
241,2023-06-02,Warehouse Movement,1103,Customer_1103,Maize,OUT,10,50,500,C,12.62
242,2023-09-23,Warehouse Movement,809,Customer_809,Millet,OUT,81,25,2025,A,11.72
243,2023-06-19,Warehouse Movement,628,Customer_628,Maize,OUT,175,50,8750,B,10.89
244,2023-08-02,Warehouse Movement,1875,Customer_1875,Millet,OUT,140,50,7000,A,12.93
245,2024-07-26,Warehouse Movement,701,Customer_701,Wheat,OUT,122,50,6100,C,10.93
246,2023-06-28,Warehouse Movement,465,Customer_465,Millet,OUT,147,50,7350,B,13.95
247,2023-05-17,Warehouse Movement,678,Customer_678,Rice,IN,62,50,3100,C,11.14
248,2024-05-06,Warehouse Movement,1290,Customer_1290,Maize,IN,155,25,3875,A,16.19
249,2023-01-17,Warehouse Movement,8,Customer_8,Millet,IN,102,50,5100,A,11.31
250,2023-01-13,Warehouse Movement,925,Customer_925,Wheat,OUT,108,25,2700,A,10.72
251,2024-08-25,Warehouse Movement,1955,Customer_1955,Sorghum,IN,112,25,2800,A,11.1
252,2023-10-05,Warehouse Movement,1132,Customer_1132,Maize,IN,185,25,4625,A,12.0
253,2023-01-24,Warehouse Movement,1280,Customer_1280,Millet,OUT,39,50,1950,A,13.17
254,2023-09-07,Warehouse Movement,1926,Customer_1926,Millet,IN,34,50,1700,C,12.23
255,2024-08-10,Warehouse Movement,1709,Customer_1709,Barley,IN,55,50,2750,C,14.46
256,2024-01-03,Warehouse Movement,209,Customer_209,Barley,OUT,156,50,7800,A,10.99
257,2024-06-25,Warehouse Movement,467,Customer_467,Rice,IN,128,50,6400,B,11.88
258,2023-06-18,Warehouse Movement,1800,Customer_1800,Barley,OUT,81,25,2025,B,13.73
259,2023-02-28,Warehouse Movement,1907,Customer_1907,Sorghum,OUT,54,25,1350,A,14.06
260,2023-11-02,Warehouse Movement,340,Customer_340,Barley,OUT,142,50,7100,C,15.8
261,2023-06-07,Warehouse Movement,1954,Customer_1954,Barley,OUT,36,25,900,B,10.84
262,2023-06-10,Warehouse Movement,1469,Customer_1469,Millet,IN,24,50,1200,C,11.11
263,2024-04-23,Warehouse Movement,1984,Customer_1984,Barley,IN,32,25,800,B,13.35
264,2024-10-10,Warehouse Movement,1611,Customer_1611,Millet,OUT,113,50,5650,C,14.75
265,2023-05-19,Warehouse Movement,790,Customer_790,Millet,IN,15,25,375,C,15.18
266,2024-09-11,Warehouse Movement,1838,Customer_1838,Maize,OUT,127,25,3175,B,10.29
267,2023-06-26,Warehouse Movement,348,Customer_348,Maize,IN,145,25,3625,B,11.91
268,2024-09-25,Warehouse Movement,676,Customer_676,Sorghum,IN,143,50,7150,B,15.16
269,2024-09-01,Warehouse Movement,109,Customer_109,Barley,IN,45,50,2250,C,11.9
270,2024-03-04,Warehouse Movement,1891,Customer_1891,Rice,OUT,120,50,6000,A,14.52
271,2024-06-13,Warehouse Movement,1006,Customer_1006,Maize,IN,176,50,8800,A,11.58
272,2023-05-21,Warehouse Movement,393,Customer_393,Barley,IN,114,50,5700,A,12.24
273,2024-03-12,Warehouse Movement,695,Customer_695,Rice,IN,165,50,8250,B,12.97
274,2023-06-13,Warehouse Movement,1639,Customer_1639,Rice,IN,59,25,1475,B,12.28
275,2024-06-12,Warehouse Movement,1038,Customer_1038,Barley,IN,60,25,1500,B,16.23
276,2024-04-08,Warehouse Movement,1333,Customer_1333,Maize,OUT,189,50,9450,C,11.67
277,2024-03-08,Warehouse Movement,1342,Customer_1342,Maize,IN,26,50,1300,C,12.94
278,2024-08-08,Warehouse Movement,1919,Customer_1919,Sorghum,OUT,134,25,3350,B,12.15
279,2023-07-07,Warehouse Movement,1834,Customer_1834,Sorghum,IN,177,25,4425,A,14.52
280,2023-06-26,Warehouse Movement,492,Customer_492,Rice,IN,187,25,4675,B,13.47
281,2023-09-18,Warehouse Movement,1366,Customer_1366,Maize,OUT,31,25,775,A,13.29
282,2024-11-12,Warehouse Movement,1105,Customer_1105,Wheat,IN,95,25,2375,A,11.94
283,2023-01-14,Warehouse Movement,1048,Customer_1048,Sorghum,IN,71,25,1775,A,15.74
284,2024-09-01,Warehouse Movement,1344,Customer_1344,Millet,IN,116,25,2900,B,16.29
285,2024-11-06,Warehouse Movement,1215,Customer_1215,Millet,IN,169,50,8450,B,10.65
286,2023-06-30,Warehouse Movement,749,Customer_749,Millet,OUT,177,50,8850,C,11.02
287,2023-09-12,Warehouse Movement,269,Customer_269,Millet,IN,46,25,1150,B,13.88
288,2024-09-15,Warehouse Movement,1181,Customer_1181,Wheat,IN,148,25,3700,A,16.08
289,2024-01-25,Warehouse Movement,260,Customer_260,Millet,OUT,112,25,2800,A,15.26
